price,accommodates,bathrooms,bedrooms,room_type,neighbourhood,CristoRedentor
228.0,2,1.0,1.0,Private room,Botafogo,2.515660916224027
125.0,4,1.0,1.0,Entire home/apt,Copacabana,3.8200258015650546
121.0,2,1.0,1.0,Private room,Copacabana,3.418677043306251
1329.0,4,2.0,2.0,Entire home/apt,Barra da Tijuca,24.27819000491777
456.0,4,,1.0,Entire home/apt,Botafogo,3.0038284861642746
178.0,2,1.0,1.0,Private room,Copacabana,3.8520905688194556
232.0,4,1.0,1.0,Entire home/apt,Copacabana,3.6210742210041946
353.0,4,3.0,2.0,Entire home/apt,Botafogo,2.694362800757096
501.0,1,2.0,2.0,Entire home/apt,Copacabana,3.499296956069434
137.0,3,1.0,1.0,Entire home/apt,Ipanema,4.250762508444299
349.0,4,1.5,2.0,Entire home/apt,Copacabana,3.7659744763145695
474.0,4,2.5,2.0,Entire home/apt,Copacabana,3.506458477232645
194.0,3,1.0,1.0,Entire home/apt,Barra da Tijuca,13.280383762798692
87.0,2,1.0,1.0,Private room,Copacabana,2.9667745021953333
175.0,4,1.0,1.0,Entire home/apt,Copacabana,3.4910053706242956
201.0,2,1.0,1.0,Entire home/apt,Santa Teresa,4.712290274995833
171.0,2,1.0,1.0,Private room,Leme,4.441295254295674
99.0,1,1.0,1.0,Private room,Tijuca,4.0592101747356635
1329.0,4,2.0,1.0,Entire home/apt,Barra da Tijuca,15.584010619473565
251.0,2,1.0,1.0,Entire home/apt,Botafogo,3.012592610298587
186.0,2,1.5,1.0,Entire home/apt,Barra da Tijuca,19.175717536597226
300.0,10,3.0,4.0,Entire home/apt,Copacabana,3.7210221779284898
501.0,9,2.0,2.0,Entire home/apt,Leblon,3.4823567085570177
456.0,3,1.0,1.0,Private room,Copacabana,2.9629755985146122
1480.0,6,,3.0,Entire home/apt,Ipanema,3.7481608793434305
144.0,4,1.0,1.0,Entire home/apt,Copacabana,3.9424041116457653
201.0,2,1.0,1.0,Private room,Copacabana,2.881103887447575
3796.0,6,3.5,4.0,Entire home/apt,Leblon,4.1192986550624955
46.0,1,1.0,1.0,Private room,Santa Teresa,4.764215401823268
585.0,6,2.5,2.0,Entire home/apt,Leblon,3.7390063576933574
46.0,1,1.0,1.0,Private room,Santa Teresa,4.958030801629449
380.0,4,2.0,2.0,Entire home/apt,Ipanema,3.8022824515418394
125.0,4,1.0,1.0,Private room,Lapa,4.72481567905339
285.0,2,2.0,2.0,Private room,Ipanema,3.538785429448668
220.0,2,1.0,1.0,Private room,Ipanema,3.6589871296461904
698.0,6,2.0,3.0,Entire home/apt,Ipanema,4.507677146412332
148.0,2,1.0,1.0,Entire home/apt,Copacabana,3.7792882460696533
1207.0,5,3.0,3.0,Entire home/apt,Ipanema,3.3332908649046704
68.0,2,2.0,1.0,Private room,Botafogo,2.565092553693213
535.0,2,1.0,0.0,Entire home/apt,Santa Teresa,4.836132675390777
190.0,3,1.0,1.0,Private room,Copacabana,3.7495248446203595
247.0,2,1.0,1.0,Entire home/apt,Flamengo,3.8646882840891776
251.0,10,2.0,1.0,Entire home/apt,Copacabana,3.9592027912847105
247.0,4,1.0,1.0,Entire home/apt,Copacabana,3.8365930162321105
235.0,4,1.0,1.0,Entire home/apt,Copacabana,3.867939723194491
235.0,5,1.0,1.0,Entire home/apt,Lapa,4.906739724934618
140.0,4,0.0,1.0,Private room,Copacabana,3.730744314972861
80.0,2,1.0,1.0,Entire home/apt,Copacabana,3.7605296874155636
110.0,3,,1.0,Private room,Copacabana,3.740770537051999
452.0,5,2.0,2.0,Entire home/apt,Copacabana,2.506087607953454
251.0,4,1.0,1.0,Entire home/apt,Copacabana,3.6203650300919703
285.0,4,1.0,1.0,Entire home/apt,Ipanema,3.479221715330287
99.0,2,,1.0,Private room,Copacabana,3.630772681712687
159.0,4,1.0,1.0,Entire home/apt,Copacabana,3.6283242396609365
178.0,4,1.0,1.0,Entire home/apt,Copacabana,3.3100082648276747
380.0,4,1.0,0.0,Entire home/apt,Copacabana,2.479832883273295
399.0,5,1.5,2.0,Entire home/apt,Leblon,3.7299269329700584
201.0,2,1.0,0.0,Entire home/apt,Lapa,5.0214406500670385
194.0,2,1.0,0.0,Entire home/apt,Santa Teresa,4.811924573214624
121.0,1,,1.0,Shared room,Santa Teresa,4.693147673123909
152.0,3,1.0,1.0,Private room,Copacabana,2.96279768736051
102.0,2,1.5,1.0,Private room,Botafogo,2.610626823906459
121.0,2,1.0,1.0,Entire home/apt,Laranjeiras,3.6330578132989304
285.0,4,2.0,2.0,Entire home/apt,Barra da Tijuca,13.151630300493087
140.0,2,1.5,1.0,Private room,Botafogo,2.8032525473565153
178.0,3,1.0,1.0,Entire home/apt,Lapa,5.050450841402308
220.0,5,1.0,1.0,Entire home/apt,Copacabana,3.6742296727094925
569.0,2,1.0,1.0,Private room,Santa Teresa,2.926905029730235
201.0,4,1.5,2.0,Entire home/apt,Ipanema,3.7229475278977557
65.0,3,1.0,1.0,Entire home/apt,Copacabana,4.0184870871066725
186.0,5,1.5,1.0,Entire home/apt,Santa Teresa,1.5996166317879854
133.0,4,1.0,1.0,Entire home/apt,Copacabana,3.7101820338724107
247.0,2,1.5,1.0,Private room,Copacabana,3.3264410087967593
190.0,2,1.0,1.0,Private room,Ipanema,3.7470755309197767
698.0,4,2.0,2.0,Entire home/apt,Ipanema,3.5411104425770175
266.0,3,1.0,2.0,Entire home/apt,Santa Teresa,4.83067479066397
178.0,2,1.0,1.0,Private room,Copacabana,2.9652864841597624
228.0,2,1.0,1.0,Entire home/apt,Copacabana,3.417066807648679
1329.0,4,1.0,2.0,Entire home/apt,Santa Teresa,4.395649866476403
178.0,2,1.0,1.0,Entire home/apt,Copacabana,3.439183382332871
148.0,4,1.5,1.0,Entire home/apt,Ipanema,3.764586887413677
493.0,5,1.5,2.0,Entire home/apt,Leblon,4.389570033103441
129.0,2,1.0,1.0,Entire home/apt,Ipanema,4.103978958391578
429.0,4,2.0,2.0,Entire home/apt,Ipanema,3.43113638464779
220.0,5,2.0,2.0,Entire home/apt,Copacabana,3.00795052358686
163.0,3,1.0,1.0,Private room,Leblon,3.4631304859185836
133.0,2,1.0,1.0,Entire home/apt,Copacabana,3.7571156443583758
152.0,2,1.0,1.0,Private room,Botafogo,2.807871733875096
1101.0,2,1.0,1.0,Entire home/apt,Ipanema,3.8933758145641635
759.0,6,3.0,3.0,Entire home/apt,Copacabana,3.4873668150435297
380.0,3,1.0,2.0,Entire home/apt,Leblon,4.016794623468248
569.0,3,,1.0,Private room,Botafogo,2.528519773633883
493.0,3,1.0,1.0,Private room,Botafogo,2.640545915099571
493.0,2,1.0,1.0,Private room,Botafogo,2.5719573364430577
266.0,2,2.0,1.0,Private room,Santa Teresa,3.5986617072328593
949.0,2,1.0,1.0,Private room,Santa Teresa,3.5915734248978297
224.0,2,1.0,1.0,Entire home/apt,Ipanema,3.869435062395218
152.0,2,1.0,1.0,Private room,Ipanema,3.581350864813729
569.0,2,,1.0,Private room,Leblon,4.205773012786558
125.0,2,1.0,1.0,Private room,Copacabana,3.450173048221772
152.0,8,1.5,2.0,Entire home/apt,Copacabana,3.8165161114374753
1329.0,8,2.0,1.0,Private room,Botafogo,2.647317957956744
68.0,2,2.0,1.0,Private room,Botafogo,2.779923123576963
247.0,5,2.0,2.0,Entire home/apt,Copacabana,3.581481849620186
224.0,6,2.0,2.0,Entire home/apt,Copacabana,3.547643418555762
266.0,2,1.5,1.0,Private room,Santa Teresa,3.596392253944155
3299.0,16,5.0,6.0,Entire home/apt,Santa Teresa,4.2736564924456815
1249.0,6,3.0,2.0,Entire home/apt,Santa Teresa,4.114300148490662
152.0,3,1.0,1.0,Private room,Barra da Tijuca,12.652737172589958
201.0,4,1.0,1.0,Private room,Recreio dos Bandeirantes,32.58578179650414
91.0,1,1.0,1.0,Private room,Leblon,3.2953855327816526
80.0,2,2.0,1.0,Private room,Botafogo,2.9173472581811715
91.0,2,1.0,1.0,Entire home/apt,Ipanema,3.955896622467249
171.0,16,5.0,1.0,Private room,Santa Teresa,3.0553420519369845
171.0,16,5.0,1.0,Private room,Santa Teresa,3.074106023669329
232.0,3,2.0,1.0,Entire home/apt,Ipanema,4.323234557368438
224.0,4,1.0,1.0,Entire home/apt,Copacabana,3.433568106753189
99.0,4,1.0,1.0,Entire home/apt,Copacabana,4.376039474960618
209.0,4,1.0,1.0,Entire home/apt,Botafogo,2.90957575573718
194.0,3,1.0,1.0,Entire home/apt,Lapa,4.73498256786089
1139.0,4,1.0,1.0,Private room,Barra da Tijuca,17.058911570770935
152.0,1,2.0,2.0,Private room,Flamengo,3.861306617817496
140.0,4,1.0,1.0,Entire home/apt,Leblon,3.598649765756563
91.0,2,2.0,1.0,Shared room,Botafogo,1.672880196331168
102.0,2,1.0,1.0,Entire home/apt,Leme,4.1115019206188155
296.0,4,2.0,2.0,Entire home/apt,Barra da Tijuca,17.852338877617303
152.0,3,1.0,1.0,Private room,Santa Teresa,5.146568030261174
152.0,2,1.0,1.0,Entire home/apt,Copacabana,3.469248575249797
626.0,6,2.0,3.0,Entire home/apt,Copacabana,3.963320920207789
201.0,3,1.0,1.0,Entire home/apt,Copacabana,3.9908446176026007
99.0,2,1.0,1.0,Private room,Ipanema,3.25966073700963
178.0,4,1.0,1.0,Entire home/apt,Copacabana,3.134669607717063
501.0,2,3.0,1.0,Private room,Copacabana,3.8213751455932004
759.0,2,1.5,1.0,Private room,Flamengo,3.761791077654024
288.0,4,1.0,1.0,Entire home/apt,Copacabana,3.9831309930641505
159.0,4,1.0,0.0,Entire home/apt,Copacabana,3.8839198717553973
125.0,3,1.0,1.0,Entire home/apt,Copacabana,3.270373840005949
949.0,4,1.5,1.0,Entire home/apt,Ipanema,3.7746122274359166
949.0,1,1.0,1.0,Private room,Ipanema,3.7218737110296236
171.0,2,1.0,1.0,Entire home/apt,Copacabana,3.394690464252191
121.0,2,0.5,1.0,Private room,Copacabana,3.813210788349065
801.0,4,2.5,2.0,Entire home/apt,Barra da Tijuca,11.854400254886391
801.0,4,2.5,2.0,Entire home/apt,Barra da Tijuca,11.554854231668036
148.0,4,1.0,1.0,Entire home/apt,Copacabana,3.4169980885727407
239.0,6,1.5,2.0,Entire home/apt,Copacabana,3.623321221533001
171.0,10,4.0,5.0,Entire home/apt,Santa Teresa,4.5878306861578615
383.0,2,1.0,1.0,Entire home/apt,Ipanema,4.349737914149847
251.0,3,2.0,2.0,Entire home/apt,Ipanema,4.151709834553893
251.0,4,2.0,2.0,Entire home/apt,Ipanema,3.947000799380558
140.0,4,1.0,1.0,Entire home/apt,Copacabana,2.5116373031556143
771.0,4,2.5,2.0,Entire home/apt,Copacabana,4.336311178666493
80.0,4,1.0,1.0,Entire home/apt,Lapa,5.560638949287336
228.0,6,1.0,1.0,Entire home/apt,Copacabana,3.763534921858515
414.0,10,2.5,3.0,Entire home/apt,Leblon,3.519596925319624
569.0,2,1.0,1.0,Entire home/apt,Flamengo,4.081393981658584
178.0,4,2.0,2.0,Entire home/apt,Santa Teresa,4.79176482861647
1298.0,1,1.0,1.0,Private room,Barra da Tijuca,12.17394417128068
342.0,7,1.0,3.0,Entire home/apt,Santa Teresa,4.062167585093524
152.0,6,1.0,2.0,Entire home/apt,Copacabana,3.234643695489909
84.0,4,1.0,0.0,Entire home/apt,Copacabana,3.1221239236251623
209.0,2,1.0,1.0,Private room,Barra da Tijuca,14.776945919008643
190.0,2,1.0,1.0,Entire home/apt,Copacabana,3.02492223513905
194.0,6,2.5,3.0,Entire home/apt,Ipanema,3.944718428670379
399.0,4,2.0,2.0,Entire home/apt,Copacabana,4.005710795525124
152.0,1,,1.0,Private room,Copacabana,3.246777522870316
213.0,4,1.0,1.0,Entire home/apt,Ipanema,3.849471938894803
118.0,4,1.0,2.0,Entire home/apt,Copacabana,3.319306209876661
661.0,8,2.5,3.0,Entire home/apt,Copacabana,3.217524377753015
114.0,3,1.5,1.0,Private room,Leblon,4.391128435150789
65.0,3,1.0,0.0,Entire home/apt,Lapa,5.222607767665772
300.0,2,1.0,1.0,Private room,Flamengo,3.739714589159684
380.0,1,0.0,1.0,Entire home/apt,Botafogo,2.952851410267011
76.0,16,3.0,1.0,Shared room,Barra da Tijuca,18.409155139146417
201.0,1,1.0,1.0,Private room,Botafogo,1.6013820588399847
34.0,1,1.0,1.0,Private room,Flamengo,4.431194111892107
144.0,3,1.0,1.0,Entire home/apt,Copacabana,4.031614085835809
998.0,4,1.0,1.0,Entire home/apt,Leblon,4.6265881103810065
338.0,1,1.0,1.0,Shared room,Botafogo,3.1724038419102367
76.0,4,1.0,1.0,Private room,Copacabana,3.660337038035482
110.0,4,1.0,1.0,Entire home/apt,Copacabana,3.9473711305356365
919.0,6,2.0,3.0,Entire home/apt,Ipanema,3.608392858388768
232.0,3,1.0,1.0,Entire home/apt,Santa Teresa,4.614456168036713
342.0,2,2.0,1.0,Private room,Ipanema,3.8341488856418713
99.0,2,1.0,1.0,Private room,Laranjeiras,3.4843819094444286
91.0,6,1.0,2.0,Entire home/apt,Flamengo,3.776586118136214
76.0,2,1.0,1.0,Private room,Copacabana,3.781528064285907
251.0,4,1.0,1.0,Entire home/apt,Flamengo,4.029377038792568
399.0,6,2.0,3.0,Entire home/apt,Leblon,3.2778586292955194
186.0,6,3.0,2.0,Entire home/apt,Copacabana,3.6182309521160407
57.0,2,2.5,4.0,Private room,Laranjeiras,2.719321727091178
129.0,2,1.5,1.0,Private room,Botafogo,3.167968657194222
300.0,4,1.0,2.0,Entire home/apt,Copacabana,3.2653809388496273
528.0,4,1.0,2.0,Entire home/apt,Ipanema,3.218154807454809
178.0,2,1.5,1.0,Private room,Copacabana,3.2044137936044406
95.0,2,1.0,1.0,Private room,Recreio dos Bandeirantes,27.931928624947734
380.0,2,0.0,1.0,Private room,Copacabana,3.752399430894107
76.0,2,1.5,1.0,Private room,Barra da Tijuca,11.459037127879173
140.0,4,2.0,2.0,Entire home/apt,Barra da Tijuca,13.129734918085315
501.0,2,1.0,1.0,Private room,Ipanema,3.6130032095113713
171.0,4,1.0,1.0,Entire home/apt,Copacabana,3.4980407599517847
68.0,2,1.0,1.0,Entire home/apt,Laranjeiras,3.6279759450228704
152.0,3,1.0,1.0,Entire home/apt,Ipanema,3.6172638007764335
285.0,2,1.0,1.0,Private room,Barra da Tijuca,22.794831608488323
144.0,2,1.0,1.0,Private room,Barra da Tijuca,12.009912405441836
490.0,10,4.5,4.0,Entire home/apt,Tijuca,5.413655739019692
300.0,4,1.5,2.0,Entire home/apt,Botafogo,2.880103902093733
698.0,2,2.0,1.0,Private room,Flamengo,4.019126010560791
239.0,2,1.0,1.0,Entire home/apt,Barra da Tijuca,10.792220593570123
125.0,2,1.0,1.0,Private room,Barra da Tijuca,18.966022694509828
342.0,4,2.0,1.0,Entire home/apt,Copacabana,3.936089468172165
152.0,4,1.0,1.0,Entire home/apt,Ipanema,3.651665521651248
251.0,4,2.0,2.0,Entire home/apt,Laranjeiras,3.8272780332281795
349.0,6,1.5,3.0,Entire home/apt,Copacabana,3.946092221189652
1101.0,6,4.0,3.0,Entire home/apt,Leblon,4.251887066793653
114.0,2,1.0,1.0,Private room,Barra da Tijuca,23.90909183715134
152.0,4,1.0,1.0,Entire home/apt,Ipanema,4.185592504307421
140.0,3,2.0,2.0,Entire home/apt,Barra da Tijuca,13.066030538195236
588.0,4,2.0,2.0,Entire home/apt,Copacabana,4.130760773910926
118.0,4,2.0,2.0,Entire home/apt,Barra da Tijuca,17.97248399961732
300.0,2,1.0,1.0,Private room,Ipanema,4.1905514047817265
554.0,5,3.0,2.0,Entire home/apt,Copacabana,3.887653488562537
209.0,5,1.0,2.0,Entire home/apt,Ipanema,3.4937542980791774
281.0,3,2.0,2.0,Private room,Tijuca,3.6776116524544396
224.0,4,1.0,1.0,Entire home/apt,Copacabana,3.3692983363786135
159.0,1,2.0,2.0,Private room,Leblon,4.080117332443645
121.0,2,1.0,1.0,Entire home/apt,Copacabana,3.90498526301233
125.0,4,1.0,1.0,Entire home/apt,Barra da Tijuca,16.021064709550206
266.0,2,1.0,1.0,Entire home/apt,Leblon,3.9086248586591403
1200.0,16,6.0,5.0,Entire home/apt,Copacabana,3.3338164798096495
152.0,2,1.0,1.0,Private room,Copacabana,2.719879844629126
178.0,4,2.5,2.0,Entire home/apt,Ipanema,3.7751241705751943
247.0,2,1.0,1.0,Entire home/apt,Ipanema,4.343875259706946
152.0,2,1.0,1.0,Private room,Barra da Tijuca,12.895323945573642
456.0,2,2.0,1.0,Private room,Tijuca,3.8243045698924467
512.0,6,3.0,3.0,Entire home/apt,Barra da Tijuca,21.64790364691736
254.0,2,1.0,1.0,Entire home/apt,Flamengo,4.25794926856907
501.0,2,1.0,1.0,Shared room,Barra da Tijuca,15.319829620264711
251.0,2,1.0,1.0,Private room,Barra da Tijuca,25.167774119046335
266.0,2,2.0,1.0,Private room,Barra da Tijuca,13.81329516031193
99.0,2,2.0,1.0,Private room,Copacabana,2.9098113701308503
201.0,5,1.0,1.0,Entire home/apt,Copacabana,3.7079800247403307
125.0,4,1.0,1.0,Entire home/apt,Barra da Tijuca,16.172643934921457
300.0,2,1.0,1.0,Private room,Ipanema,3.4120860654963305
114.0,3,2.0,3.0,Private room,Santa Teresa,4.558276396318991
698.0,7,2.0,2.0,Entire home/apt,Barra da Tijuca,17.518807328458184
600.0,11,3.0,2.0,Entire home/apt,Ipanema,3.6419517633841973
235.0,10,3.0,2.0,Entire home/apt,Ipanema,3.6273331368808894
566.0,2,1.0,1.0,Private room,Copacabana,3.7638861775360533
349.0,3,1.0,1.0,Entire home/apt,Ipanema,3.450138187548355
76.0,16,3.0,1.0,Shared room,Barra da Tijuca,18.587947090725237
140.0,2,1.0,1.0,Private room,Leme,4.3915502386829655
38.0,1,1.0,1.0,Private room,Botafogo,1.7565474244655253
95.0,2,1.0,1.0,Private room,Copacabana,3.76130741685043
251.0,8,2.0,3.0,Entire home/apt,Barra da Tijuca,19.637016958222244
152.0,2,1.0,1.0,Private room,Ipanema,4.0875767061630786
